date,workout_name,exercise_name,set_number,weight,reps,is_bodyweight
2026-08-03,Push,Tricep Pushdown (Unilateral),1,15,9,false
2026-08-03,Push,Tricep Pushdown (Unilateral),2,15,8,false
2026-08-04,Pull,Cable Curl,1,40,10,false
2026-08-04,Pull,Cable Curl,2,50,6,false
2026-08-04,Pull,Chest Supported Close Row,1,40,13,false
2026-08-04,Pull,Chest Supported Close Row,2,50,10,false
2026-08-04,Pull,Lat Pulldown,1,61,11,false
2026-08-04,Pull,Lat Pulldown,2,68,8,false
2026-08-04,Pull,Preacher Curl,1,47,11,false
2026-08-04,Pull,Preacher Curl,2,54,6,false
2026-08-04,Pull,Reverse Pec Dec,1,25,10,false
2026-08-04,Pull,Reverse Pec Dec,2,25,8,false
2026-08-04,Pull,T-Bar Row,1,35,10,false
2026-08-04,Pull,T-Bar Row,2,40,8,false
2026-08-04,Pull,Wrist Curl,1,25,12,false
2026-08-05,Legs,Barbell Stiff-Leg Deadlift,1,40,11,false
2026-08-05,Legs,Barbell Stiff-Leg Deadlift,2,60,8,false
2026-08-05,Legs,Barbell Stiff-Leg Deadlift,3,70,6,false
2026-08-05,Legs,Hamstring Curl,1,47,12,false
2026-08-05,Legs,Hamstring Curl,2,54,5,false
2026-08-05,Legs,Leg Extension,1,47,10,false
2026-08-05,Legs,Leg Extension,2,54,8,false
2026-08-05,Legs,Pendulum Squat,1,5,8,false
2026-08-05,Legs,Pendulum Squat,2,10,8,false
2026-08-05,Legs,Pendulum Squat,3,15,6,false
2026-08-05,Legs,Standing Calf Raise,1,96,10,false
2026-08-05,Legs,Standing Calf Raise,2,96,10,false
2026-08-07,Upper,Barbell Row,1,30,14,false
2026-08-07,Upper,Barbell Row,2,40,8,false
2026-08-07,Upper,Bicep Curl,1,17.5,9,false
2026-08-07,Upper,Bicep Curl,2,20,5,false
2026-08-07,Upper,Cable Fly,1,20,12,false
2026-08-07,Upper,Cable Fly,2,25,8,false
2026-08-07,Upper,Incline Barbell Press,1,40,7,false
2026-08-07,Upper,Incline Barbell Press,2,40,6,false
2026-08-07,Upper,Pull Up,1,,5,true
2026-08-07,Upper,Pull Up,2,,6,true
2026-08-07,Upper,Tricep Rope Pushdown,1,45,11,false
2026-08-07,Upper,Tricep Rope Pushdown,2,50,9,false
2026-08-10,Legs V2,Barbell Squat,1,40,8,false
2026-08-10,Legs V2,Barbell Squat,2,60,6,false
2026-08-10,Legs V2,Barbell Squat,3,70,3,false
2026-08-10,Legs V2,Barbell Stiff-Leg Deadlift,1,40,9,false
2026-08-10,Legs V2,Barbell Stiff-Leg Deadlift,2,60,6,false
2026-08-10,Legs V2,Leg Extension,1,54,10,false
2026-08-10,Legs V2,Leg Extension,2,61,9,false
2026-08-10,Legs V2,Leg Extension,3,68,8,false
2026-08-13,Push,Incline Chest Machine Press,1,70,5,false
2026-08-13,Push,Incline Chest Machine Press,2,80,4,false
2026-08-13,Push,Machine Chest Press,1,68,9,false
2026-08-13,Push,Machine Chest Press,2,75,6,false
2026-08-13,Push,Machine Lateral Raise,1,30,10,false
2026-08-13,Push,Machine Lateral Raise,2,30,9,false
2026-08-13,Push,Machine Shoulder Press,1,54,9,false
2026-08-13,Push,Machine Shoulder Press,2,61,7,false
2026-08-13,Push,Overhead Tricep Extension (Unilateral),1,15,12,false
2026-08-13,Push,Overhead Tricep Extension (Unilateral),2,20,8,false
2026-08-13,Push,Pec Dec,1,25,11,false
2026-08-13,Push,Pec Dec,2,30,7,false
2026-08-13,Push,Tricep Pushdown (Unilateral),1,15,10,false
2026-08-13,Push,Tricep Pushdown (Unilateral),2,20,6,false
2026-08-16,Pull,Chest Supported Close Row,1,40,11,false
2026-08-16,Pull,Chest Supported Close Row,2,50,8,false
2026-08-16,Pull,Hammer Curl,1,15,9,false
2026-08-16,Pull,Hammer Curl,2,17.5,5,false
2026-08-16,Pull,Lat Pulldown,1,61,11,false
2026-08-16,Pull,Lat Pulldown,2,68,7,false
2026-08-16,Pull,Preacher Curl,1,47,10,false
2026-08-16,Pull,Preacher Curl,2,54,5,false
2026-08-16,Pull,Reverse Pec Dec,1,25,10,false
2026-08-16,Pull,Reverse Pec Dec,2,25,6,false
2026-08-16,Pull,T-Bar Row,1,35,10,false
2026-08-16,Pull,T-Bar Row,2,40,8,false
2026-08-18,Legs,Barbell Stiff-Leg Deadlift,1,40,12,false
2026-08-18,Legs,Barbell Stiff-Leg Deadlift,2,60,6,false
2026-08-18,Legs,Hamstring Curl,1,47,10,false
2026-08-18,Legs,Hamstring Curl,2,54,7,false
2026-08-18,Legs,Leg Extension,1,54,11,false
2026-08-18,Legs,Leg Extension,2,61,8,false
2026-08-18,Legs,Pendulum Squat,1,10,8,false
2026-08-18,Legs,Pendulum Squat,2,15,7,false
2026-08-18,Legs,Pendulum Squat,3,20,4,false
2026-08-20,Upper,Barbell Row,1,30,13,false
2026-08-20,Upper,Barbell Row,2,40,8,false
2026-08-20,Upper,Bicep Curl,1,17.5,9,false
2026-08-20,Upper,Bicep Curl,2,20,5,false
2026-08-20,Upper,Flat Bench Press,1,40,9,false
2026-08-20,Upper,Flat Bench Press,2,45,8,false
2026-08-20,Upper,Lat Pulldown,1,61,10,false
2026-08-20,Upper,Lat Pulldown,2,68,7,false
2026-08-20,Upper,Pec Dec,1,25,12,false
2026-08-20,Upper,Pec Dec,2,30,8,false
2026-08-20,Upper,Tricep Rope Pushdown,1,45,10,false
2026-08-22,Legs V2,Barbell Squat,1,40,9,false
2026-08-22,Legs V2,Barbell Squat,2,60,6,false
2026-08-22,Legs V2,Barbell Squat,3,70,3,false
2026-08-22,Legs V2,Barbell Stiff-Leg Deadlift,1,40,12,false
2026-08-22,Legs V2,Barbell Stiff-Leg Deadlift,2,60,8,false
2026-08-22,Legs V2,Barbell Stiff-Leg Deadlift,3,70,5,false
2026-08-22,Legs V2,Leg Extension,1,61,9,false
2026-08-22,Legs V2,Leg Extension,2,68,8,false
2026-08-22,Legs V2,Standing Calf Raise,1,96,9,false
2026-08-22,Legs V2,Standing Calf Raise,2,96,9,false
2026-08-25,Push,Incline Chest Machine Press,1,60,9,false
2026-08-25,Push,Incline Chest Machine Press,2,70,6,false
2026-08-25,Push,Machine Chest Press,1,68,8,false
2026-08-25,Push,Machine Chest Press,2,75,4,false
2026-08-25,Push,Machine Lateral Raise,1,30,11,false
2026-08-25,Push,Machine Lateral Raise,2,30,9,false
2026-08-25,Push,Overhead Tricep Extension (Unilateral),1,15,13,false
2026-08-25,Push,Overhead Tricep Extension (Unilateral),2,20,8,false
2026-08-25,Push,Pec Dec,1,25,10,false
2026-08-25,Push,Pec Dec,2,30,6,false
2026-08-25,Push,Tricep Pushdown (Unilateral),1,15,10,false
2026-08-25,Push,Tricep Pushdown (Unilateral),2,20,5,false
2026-08-26,Pull,Chest Supported Close Row,1,40,12,false
2026-08-26,Pull,Chest Supported Close Row,2,50,11,false
2026-08-26,Pull,Lat Pulldown,1,68,9,false
2026-08-26,Pull,Lat Pulldown,2,68,7,false
2026-08-26,Pull,Reverse Pec Dec,1,25,10,false
2026-08-26,Pull,Reverse Pec Dec,2,25,6,false
2026-08-26,Pull,T-Bar Row,1,35,11,false
2026-08-26,Pull,T-Bar Row,2,40,7,false
2026-08-27,Legs,Barbell Stiff-Leg Deadlift,1,40,12,false
2026-08-27,Legs,Barbell Stiff-Leg Deadlift,2,60,7,false
2026-08-27,Legs,Barbell Stiff-Leg Deadlift,3,70,5,false
2026-08-27,Legs,Hamstring Curl,1,47,11,false
2026-08-27,Legs,Hamstring Curl,2,54,7,false
2026-08-27,Legs,Leg Extension,1,61,11,false
2026-08-27,Legs,Leg Extension,2,68,7,false
2026-08-27,Legs,Pendulum Squat,1,10,10,false
2026-08-27,Legs,Pendulum Squat,2,15,7,false
2026-08-27,Legs,Pendulum Squat,3,20,4,false
